Country,Time,Global Trade Openness (%GDP),Global Trade Openness-Lag1
AT,2020,99.9482141095975,
AT,2021,111.032268737901,99.9482141095975
AT,2022,124.38345148483,111.032268737901
AT,2023,116.813919411879,124.38345148483
AT,2024,110.535462439764,116.813919411879
BE,2020,156.950121282783,
BE,2021,177.381892440073,156.950121282783
BE,2022,191.939444094087,177.381892440073
BE,2023,168.961009401668,191.939444094087
BE,2024,158.452949662035,168.961009401668
BG,2020,110.324081132354,
BG,2021,121.157354617771,110.324081132354
BG,2022,138.84014681798,121.157354617771
BG,2023,119.668120344213,138.84014681798
BG,2024,109.288840792797,119.668120344213
CY,2020,160.66871645997,
CY,2021,176.82773681987,160.66871645997
CY,2022,207.632427046376,176.82773681987
CY,2023,193.268619207237,207.632427046376
CY,2024,189.798885929564,193.268619207237
CZ,2020,128.780430305965,
CZ,2021,137.378116302868,128.780430305965
CZ,2022,144.011494109397,137.378116302868
CZ,2023,132.956943913575,144.011494109397
CZ,2024,131.915401716638,132.956943913575
DE,2020,72.9932572283324,
DE,2021,80.15661805106,72.9932572283324
DE,2022,89.0641273695259,80.15661805106
DE,2023,82.7991064495705,89.0641273695259
DE,2024,80.3446714019595,82.7991064495705
DK,2020,104.433432671151,
DK,2021,111.414043682799,104.433432671151
DK,2022,131.54315114232,111.414043682799
DK,2023,127.768567480091,131.54315114232
DK,2024,128.643001518784,127.768567480091
ES,2020,59.4461280147076,
ES,2021,66.524588943191,59.4461280147076
ES,2022,78.6275624641006,66.524588943191
ES,2023,72.1917288917484,78.6275624641006
ES,2024,70.3050400627785,72.1917288917484
EE,2020,137.392641283846,
EE,2021,160.394681627556,137.392641283846
EE,2022,174.563994182116,160.394681627556
EE,2023,154.859244621649,174.563994182116
EE,2024,151.980055920426,154.859244621649
FI,2020,72.1845955995888,
FI,2021,79.7892781913782,72.1845955995888
FI,2022,94.5625340522667,79.7892781913782
FI,2023,85.8773672749668,94.5625340522667
FI,2024,82.4576286482681,85.8773672749668
FR,2020,58.8388907240647,
FR,2021,63.788482630872,58.8388907240647
FR,2022,75.7901436111221,63.788482630872
FR,2023,70.5595547931931,75.7901436111221
FR,2024,67.2229707568101,70.5595547931931
GR,2020,70.2937864486395,
GR,2021,88.0126627401059,70.2937864486395
GR,2022,107.679207902405,88.0126627401059
GR,2023,92.1562900262242,107.679207902405
GR,2024,89.3165894500404,92.1562900262242
HR,2020,89.5334538008947,
HR,2021,102.308430815836,89.5334538008947
HR,2022,125.213857590974,102.308430815836
HR,2023,107.700919430599,125.213857590974
HR,2024,102.716218689318,107.700919430599
HU,2020,154.295498794188,
HU,2021,158.729782791959,154.295498794188
HU,2022,183.808014139622,158.729782791959
HU,2023,157.10677596052,183.808014139622
HU,2024,143.777510999493,157.10677596052
IE,2020,250.10845231469,
IE,2021,224.418835854724,250.10845231469
IE,2022,232.129490581307,224.418835854724
IE,2023,237.215881337618,232.129490581307
IE,2024,252.96292526246,237.215881337618
IT,2020,53.9394839042764,
IT,2021,60.3019776202798,53.9394839042764
IT,2022,72.0165023032697,60.3019776202798
IT,2023,65.6408634740709,72.0165023032697
IT,2024,63.1760890612347,65.6408634740709
LT,2020,135.796565563519,
LT,2021,154.80672767597,135.796565563519
LT,2022,175.651612151093,154.80672767597
LT,2023,149.041909014608,175.651612151093
LT,2024,143.04839086338,149.041909014608
LU,2020,375.581396376432,
LU,2021,397.506180867971,375.581396376432
LU,2022,412.177169924175,397.506180867971
LU,2023,404.458334911166,412.177169924175
LU,2024,398.227930959521,404.458334911166
LV,2020,123.88319804656,
LV,2021,136.796615414819,123.88319804656
LV,2022,159.84434485906,136.796615414819
LV,2023,136.632034970681,159.84434485906
LV,2024,131.803776863673,136.632034970681
MT,2020,256.402967044059,
MT,2021,220.738701426547,256.402967044059
MT,2022,243.415382342225,220.738701426547
MT,2023,232.46676505021,243.415382342225
MT,2024,229.548280014917,232.46676505021
NL,2020,152.233230409706,
NL,2021,163.154842689698,152.233230409706
NL,2022,184.107484252682,163.154842689698
NL,2023,165.905457011481,184.107484252682
NL,2024,156.173668455139,165.905457011481
PL,2020,99.2590912303436,
PL,2021,110.874283021945,99.2590912303436
PL,2022,123.021332860345,110.874283021945
PL,2023,110.024935041815,123.021332860345
PL,2024,100.650141381651,110.024935041815
PT,2020,76.5086407209215,
PT,2021,85.8735452148975,76.5086407209215
PT,2022,101.364147310434,85.8735452148975
PT,2023,93.8637906963574,101.364147310434
PT,2024,91.1410312778576,93.8637906963574
RO,2020,77.923643460062,
RO,2021,86.6133494279219,77.923643460062
RO,2022,93.6215624887545,86.6133494279219
RO,2023,83.0900673956751,93.6215624887545
RO,2024,77.2918515027171,83.0900673956751
SK,2020,167.534173320366,
SK,2021,181.904665436682,167.534173320366
SK,2022,203.928968248026,181.904665436682
SK,2023,181.033630736396,203.928968248026
SK,2024,170.244435707574,181.033630736396
SI,2020,147.549008584942,
SI,2021,162.082728356416,147.549008584942
SI,2022,186.21959497631,162.082728356416
SI,2023,160.098444691588,186.21959497631
SI,2024,156.482456986786,160.098444691588
SE,2020,84.3307817719974,
SE,2021,90.2779861793753,84.3307817719974
SE,2022,105.855015275665,90.2779861793753
SE,2023,106.740878308822,105.855015275665
SE,2024,104.810994271736,106.740878308822
